scenario,initial_capacity,time,capacity,substitute_share
repair intervention,0.15,30.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,31.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,32.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,33.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,34.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,35.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,36.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,37.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,38.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,39.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,40.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,41.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,42.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,43.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,44.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,45.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,46.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,47.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,48.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,49.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,50.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,51.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,52.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,53.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,54.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,55.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,56.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,57.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,58.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,59.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,60.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,61.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,62.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,63.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,64.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,65.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,66.0,0.8675492920867176,0.0076387931148251135
