selection_metric,competition_intensity,time,bridge_share,bridge_capacity,sink_capacity,bridge_selection_score,sink_selection_score,bridge_material_growth,sink_material_growth,mean_material_growth,population_mass
engagement proxy,0.4,70.0,1.7995808910299013e-11,0.8393914975714976,0.08540184533765825,0.07640985232788475,0.999896580113886,0.032307095761174465,-0.04987175248429595,-0.049871752482817076,0.03680386951549934
engagement proxy,0.4,71.0,1.239496443057407e-11,0.8393914975714976,0.08540184188728925,0.07640985232788475,0.9998965801202925,0.032307095761174465,-0.049871752691574345,-0.04987175269055574,0.03501341371048324
engagement proxy,0.4,72.0,8.537273539653862e-12,0.8393914975714976,0.08540183914328148,0.07640985232788475,0.9998965801253873,0.032307095761174465,-0.0498717528564186,-0.049871752855717016,0.03331006102269452
engagement proxy,0.4,73.0,5.8802136866860835e-12,0.8393914975714976,0.0854018369610284,0.07640985232788475,0.999896580129439,0.032307095761174465,-0.04987175298751586,-0.04987175298703263,0.03168957401142297
engagement proxy,0.4,74.0,4.050111881786065e-12,0.8393914975714976,0.0854018352255273,0.07640985232788475,0.9998965801326614,0.032307095761174465,-0.049871753091774815,-0.049871753091441984,0.03014792138095273
engagement proxy,0.4,75.0,2.7895935639373443e-12,0.8393914975714976,0.08540183384531891,0.07640985232788475,0.9998965801352241,0.032307095761174465,-0.04987175317468983,-0.04987175317446059,0.028681267952014415
engagement proxy,0.4,76.0,1.9213869836401943e-12,0.8393914975714976,0.08540183274766748,0.07640985232788475,0.999896580137262,0.032307095761174465,-0.04987175324063043,-0.049871753240472536,0.027285965121084336
engagement proxy,0.4,77.0,1.323392765391794e-12,0.8393914975714976,0.08540183187472787,0.07640985232788475,0.9998965801388828,0.032307095761174465,-0.04987175329307164,-0.04987175329296288,0.02595854178380441
engagement proxy,0.4,78.0,9.115125825261316e-13,0.8393914975714976,0.08540183118049689,0.07640985232788475,0.9998965801401718,0.032307095761174465,-0.04987175333477706,-0.04987175333470215,0.024695695699949276
engagement proxy,0.4,79.0,6.27822072049019e-13,0.8393914975714976,0.08540183062838928,0.07640985232788475,0.999896580141197,0.032307095761174465,-0.04987175336794452,-0.04987175336789293,0.0234942852784634
engagement proxy,0.4,80.0,4.324246990199283e-13,0.8393914975714976,0.08540183018930941,0.07640985232788475,0.9998965801420121,0.032307095761174465,-0.04987175339432192,-0.049871753394286386,0.02235132176213561
engagement proxy,1.2,0.0,0.5,0.15,0.15,0.9898592419558198,0.9996702183654522,-0.04559436967823279,-0.045986808734618086,-0.04579058920642544,1.0
engagement proxy,1.2,1.0,0.4956342004855144,0.2262300898669872,0.14350131997413967,0.978094729974778,0.9997065277040755,-0.04054998380697189,-0.04637818190971464,-0.043489527602790554,0.9562510756603856
engagement proxy,1.2,2.0,0.48527465710801554,0.3217186394205687,0.13703705401463132,0.9437028145472574,0.9997386790075878,-0.03344499421665617,-0.04676732391942563,-0.040302334941034246,0.9168342519381141
