scenario,period,mean_theta,attention_share,offline_social_capital,mean_fitness,subjective_satisfaction,entropy
I1_reproduce_selection_only,21,0.13732731785141566,0.13732731785141566,0.8626726821485844,2.402090313271617,0.6988555850171583,0.7344125032036766
I1_reproduce_selection_only,22,0.13026977472807352,0.13026977472807352,0.8697302252719264,2.4205258252337627,0.7081427065160865,0.7275077791327907
I1_reproduce_selection_only,23,0.12354992369251329,0.12354992369251329,0.8764500763074867,2.4381385900744976,0.7173134153938966,0.7202397874346489
I1_reproduce_selection_only,24,0.11716467287957966,0.11716467287957966,0.8828353271204203,2.4549279124066423,0.7263379593294663,0.7126398348388782
I1_reproduce_selection_only,25,0.11110880590598815,0.11110880590598815,0.8888911940940118,2.4708993599109172,0.7351900576413436,0.7047420641209445
I1_reproduce_selection_only,26,0.10537520085256509,0.10537520085256509,0.8946247991474349,2.4860642095048915,0.7438470651335535,0.6965824454740482
I1_reproduce_selection_only,27,0.09995508305578112,0.09995508305578112,0.9000449169442188,2.5004387879324885,0.7522900111444963,0.688197826650078
I1_reproduce_selection_only,28,0.09483829620916989,0.09483829620916989,0.9051617037908302,2.5140437493040944,0.7605035303919442,0.679625076907931
I1_reproduce_selection_only,29,0.09001357796139903,0.09001357796139903,0.9099864220386009,2.5269033281985935,0.768475705276182,0.6709003478031632
I1_reproduce_selection_only,30,0.085468828504016,0.085468828504016,0.914531171495984,2.539044601129849,0.7761978403670454,0.6620584626906131
I1_reproduce_selection_only,31,0.08119136322822713,0.08119136322822713,0.9188086367717728,2.550496782413233,0.7836641892388931,0.6531324372797804
I1_reproduce_selection_only,32,0.07716814311683785,0.07716814311683785,0.9228318568831622,2.561290573528423,0.7908716520739542,0.6441531260899735
I1_reproduce_selection_only,33,0.07338597892066884,0.07338597892066884,0.9266140210793312,2.571457578552646,0.7978194599663799,0.6351489842893784
I1_reproduce_selection_only,34,0.06983170722041297,0.06983170722041297,0.930168292779587,2.5810297925197396,0.8045088590106662,0.6261459310277071
I1_reproduce_selection_only,35,0.06649233813370581,0.06649233813370581,0.9335076618662942,2.5900391648474805,0.8109428043543522,0.6171672987002758
I1_reproduce_selection_only,36,0.06335517568394226,0.06335517568394226,0.9366448243160578,2.5985172363244367,0.8171256716558558,0.6082338522591079
I1_reproduce_selection_only,37,0.060407912729175985,0.060407912729175985,0.939592087270824,2.606494845508749,0.823062990953621,0.5993638633520919
I1_reproduce_selection_only,38,0.057638702905180084,0.057638702905180084,0.9423612970948199,2.6140018986491818,0.8287612058946918,0.5905732253927398
I1_reproduce_selection_only,39,0.055036212325325407,0.055036212325325407,0.9449637876746746,2.621067196244735,0.8342274596099823,0.58187559736117
I1_reproduce_selection_only,40,0.05258965386158715,0.05258965386158715,0.9474103461384129,2.627718308955416,0.8394694072443466,0.5732825659922295
I1_reproduce_selection_only,41,0.05028880676165502,0.05028880676165502,0.949711193238345,2.633981495613692,0.8444950542141452,0.5648038178589019
I1_reproduce_selection_only,42,0.04812402418523495,0.04812402418523495,0.951875975814765,2.639881656431447,0.849312618623799,0.55644731460036
I1_reproduce_selection_only,43,0.04608623100784935,0.04608623100784935,0.9539137689921506,2.6454423150408997,0.8539304158727482,0.54821946610924
I1_reproduce_selection_only,44,0.04416691397362887,0.04416691397362887,0.9558330860263712,2.650685623662729,0.8583567632739215,0.5401252978499839
