shock,total_field,adoption,phase
0.170625,0.090625,0.93184147518851,down
0.16624999999999998,0.08624999999999998,0.93036251091427,down
0.161875,0.08187499999999999,0.9288439395526554,down
0.15749999999999997,0.07749999999999997,0.9272842894650005,down
0.15312499999999998,0.07312499999999998,0.9256820105331931,down
0.14875,0.06874999999999999,0.924035466013704,down
0.14437499999999998,0.06437499999999997,0.9223429273718515,down
0.13999999999999999,0.059999999999999984,0.9206025669305633,down
0.13562499999999997,0.055624999999999966,0.9188124493270424,down
0.13124999999999998,0.051249999999999976,0.9169705227707549,down
0.12687500000000002,0.046875000000000014,0.9150746095066836,down
0.12249999999999998,0.04249999999999998,0.9131223956825423,down
0.118125,0.03812499999999999,0.9111114168449759,down
0.11374999999999998,0.033749999999999974,0.9090390468133618,down
0.109375,0.029375,0.9069024817852382,down
0.10500000000000001,0.02500000000000001,0.904698722852274,down
0.10062499999999999,0.02062499999999999,0.9024245571254659,down
0.09625,0.01625,0.9000765362774656,down
0.09187499999999998,0.011874999999999983,0.897650951707313,down
0.0875,0.007499999999999993,0.8951438071222974,down
0.083125,0.0031250000000000028,0.8925507865501339,down
0.07874999999999999,-0.001250000000000015,0.889867216986719,down
0.074375,-0.005625000000000005,0.8870880282623363,down
0.06999999999999998,-0.010000000000000023,0.8842077027750748,down
0.06562499999999999,-0.014375000000000013,0.8812202192637788,down
0.06125000000000001,-0.01874999999999999,0.8781189884350344,down
0.05687499999999999,-0.023125000000000014,0.8748967736889923,down
0.052500000000000005,-0.027499999999999997,0.8715456009176714,down
0.04812499999999998,-0.03187500000000002,0.8680566498258269,down
0.04375,-0.036250000000000004,0.8644201231980941,down
0.039375000000000014,-0.04062499999999999,0.8606250909335056,down
0.03499999999999999,-0.04500000000000001,0.8566592993106295,down
0.030625000000000006,-0.049374999999999995,0.8525089373373627,down
0.02624999999999998,-0.05375000000000002,0.8481583462776325,down
0.021875,-0.058125,0.8435896594406644,down
0.017500000000000016,-0.062499999999999986,0.8387823414370817,down
0.01312499999999999,-0.06687500000000002,0.8337126008744775,down
0.008750000000000008,-0.07125,0.828352622252235,down
0.004374999999999984,-0.07562500000000001,0.8226695534773041,down
0.0,-0.08,0.8166241345600209,down
