scenario,period,mean_lambda,cooperation_rate,mean_material_payoff,mean_subjective_value
I2_mutation_to_conflict,5,0.019916484246258585,0.006647988486583417,1.0198997697088326,1.0362214443102045
I2_mutation_to_conflict,6,-0.0037599018510708912,0.002028123215662733,1.0060802563632105,1.0012803369647578
I2_mutation_to_conflict,7,-0.024921553719652382,0.0005174816719892033,1.0015521772286868,0.9763796888634301
I2_mutation_to_conflict,8,-0.044114245419417664,0.00010674922152640681,1.000320236269183,0.9561569999189814
I2_mutation_to_conflict,9,-0.06162753673966713,1.6798102930567695e-05,1.0000503940266157,0.9384155383737683
I2_mutation_to_conflict,10,-0.07764130695518115,1.924320502924257e-06,1.0000057729578058,0.9223636669959724
I2_mutation_to_conflict,11,-0.09229204502204481,1.535282250666545e-07,1.0000004605846518,0.907708354634782
I2_mutation_to_conflict,12,-0.10569724163039274,7.804297588592607e-09,1.0000000234128927,0.8943027788127831
I2_mutation_to_conflict,13,-0.1179629771577178,2.3073237670220028e-10,1.0000000006921972,0.8820370234501823
I2_mutation_to_conflict,14,-0.1291861241315407,2.3338036781403432e-12,1.0000000000070015,0.8708138758746405
I2_mutation_to_conflict,15,-0.13945530358069233,2.6512311215965268e-15,1.000000000000008,0.8605446964193146
I2_mutation_to_conflict,16,-0.14885160277633389,6.487063017787141e-19,1.0,0.8511483972236662
I2_mutation_to_conflict,17,-0.1574492165403455,1.1991579368603512e-22,1.0,0.8425507834596546
I2_mutation_to_conflict,18,-0.1653160331344161,2.0590504880981108e-26,1.0,0.834683966865584
I2_mutation_to_conflict,19,-0.17251417031799068,3.454333775796095e-30,1.0,0.8274858296820092
I2_mutation_to_conflict,20,-0.17910046584096148,5.750106564907778e-34,1.0,0.8208995341590386
I2_mutation_to_conflict,21,-0.18512692624447974,9.546144471754396e-38,1.0,0.8148730737555203
I2_mutation_to_conflict,22,-0.1906411375136989,1.5833620436450828e-41,1.0,0.8093588624863011
I2_mutation_to_conflict,23,-0.19568664082503448,2.6253923322577e-45,1.0,0.8043133591749655
I2_mutation_to_conflict,24,-0.20030327635490655,4.352716306793618e-49,1.0,0.7996967236450936
I2_mutation_to_conflict,25,-0.20452749786473945,7.216223197046521e-53,1.0,0.7954725021352606
I2_mutation_to_conflict,26,-0.2083926605462366,1.1963377918427193e-56,1.0,0.7916073394537634
I2_mutation_to_conflict,27,-0.21192928439980646,1.983333298346315e-60,1.0,0.7880707156001936
I2_mutation_to_conflict,28,-0.21516529522582287,3.288038529184155e-64,1.0,0.7848347047741772
I2_mutation_to_conflict,29,-0.2181262451316279,5.4510209968165904e-68,1.0,0.7818737548683721
I2_mutation_to_conflict,30,-0.22083551429543952,9.036884457183638e-72,1.0,0.7791644857045605
