capacity_protection,capacity,substitute_share,drift_slope,stable,interpretation
1.75,0.08576603889465334,0.9994784053484584,-0.2227591474016022,True,low trap
1.75,0.18624606227874757,0.979476691715668,0.2647180244428101,False,threshold
1.75,0.8441125056147575,1.5100326212858416e-09,-1.9631229790231022,True,high state
1.8,0.08580981540679931,0.9994283369446019,-0.2220878840158462,True,low trap
1.8,0.18325893592834475,0.9777478291210868,0.27356062017742655,False,threshold
1.8,0.8441125056743621,6.22390930422837e-10,-1.9631229858823724,True,high state
1.85,0.08585797691345215,0.9993733011853714,-0.22133885190897346,True,low trap
1.85,0.18019295835494994,0.9760957301483495,0.282117815131115,False,threshold
1.85,0.8441125057339668,2.5653119314212907e-10,-1.9631229890970197,True,high state
1.9,0.08591100025177004,0.9993127679557743,-0.22050274880173082,True,low trap
1.9,0.17706880140304562,0.9745424277791146,0.29022469976708465,False,threshold
1.9,0.8441125057935714,1.0573459511665112e-10,-1.9631229907647494,True,high state
1.95,0.08596942329406737,0.9992461417904325,-0.21956904814766015,True,low trap
1.95,0.17390499401092524,0.9731060180835293,0.2977299442937724,False,threshold
1.95,0.8441125057935714,4.358068308357896e-11,-1.9631229912467174,True,high state
2.0,0.08603385257720948,0.9991727517960879,-0.21852581692319967,True,low trap
2.0,0.17071771717071538,0.9718007627960571,0.3044972691847079,False,threshold
2.0,0.8441125057935714,1.7962672821195256e-11,-1.9631229914506962,True,high state
2.05,0.08610497760772705,0.999091839367752,-0.21735947396616184,True,low trap
2.05,0.16752077293396,0.9706373860855643,0.31040555427898003,False,threshold
2.05,0.8441125057935714,7.403684202417286e-12,-1.9631229915369657,True,high state
2.1,0.08618358421325684,0.9990025433717677,-0.2160545158510073,True,low trap
2.1,0.16432567310333251,0.9696234778354569,0.31534803584796034,False,threshold
2.1,0.8441125057935714,3.051580369715571e-12,-1.963122991573428,True,high state
2.15,0.0862705726623535,0.9989038819249472,-0.2145931744825442,True,low trap
2.15,0.16114179229736328,0.9687639492049526,0.3192308430973553,False,threshold
2.15,0.8441125057935714,1.2577714686654659e-12,-1.9631229915888297,True,high state
2.2,0.08636698055267335,0.9987947297888985,-0.21295499288211453,True,low trap
2.2,0.15797655057907106,0.9680614976365629,0.3219711265165751,False,threshold
2.2,0.8441125057935714,5.184163206341016e-13,-1.9631229915953317,True,high state
2.25,0.08647400856018067,0.998673790207951,-0.21111631055932897,True,low trap
2.25,0.15483560562133786,0.9675170475862308,0.32349502759922355,False,threshold
2.25,0.8441125057935714,2.1367592459768677e-13,-1.9631229915980748,True,high state
2.3,0.08659305667877197,0.9985395590536978,-0.20904959792130323,True,low trap
2.3,0.15172302532196047,0.9671301698132765,0.3237354125948197,False,threshold
2.3,0.8441125057935714,8.807091701284061e-14,-1.9631229915992316,True,high state
2.35,0.0867257738113403,0.9983902784752323,-0.2067225900205512,True,low trap
2.35,0.14864144468307497,0.96689945303369,0.3226296379531534,False,threshold
2.35,0.8441125057935714,3.6300235686758464e-14,-1.9631229915997193,True,high state
2.4,0.08687411403656005,0.9982238769551093,-0.20409720371297635,True,low trap
2.4,0.14559217929840085,0.9668228585353772,0.32011701865547876,False,threshold
2.4,0.8441125057935714,1.496188702931368e-14,-1.9631229915999246,True,high state
2.45,0.08704041862487791,0.998037889304893,-0.20112807313685496,True,low trap
2.45,0.14257530736923216,0.9668980361782613,0.316136236384317,False,threshold
2.45,0.8441125057935714,6.166848761249184e-15,-1.963122991600011,True,high state
2.5,0.08722753143310547,0.9978293478165712,-0.19776055417121266,True,low trap
2.5,0.13958969593048098,0.9671226376470323,0.3106222807989784,False,threshold
2.5,0.8441125057935714,2.541793262414802e-15,-1.9631229916000474,True,high state
2.55,0.08743894481658934,0.9975946329551288,-0.19392805089764364,True,low trap
2.55,0.1366329679489136,0.9674946299462404,0.3035028468410496,False,threshold
2.55,0.8441125057935714,1.0476522514147985e-15,-1.9631229916000628,True,high state
2.6,0.08767902851104734,0.9973292591068225,-0.18954812563111334,True,low trap
2.6,0.1337013807296753,0.9680126490379393,0.2946936377226057,False,threshold
2.6,0.8441125057935714,4.3181137353859396e-16,-1.9631229916000692,True,high state
2.65,0.08795335102081298,0.997027562274663,-0.18451690899855036,True,low trap
2.65,0.1307895927429199,0.9686764111452174,0.28409219633218785,False,threshold
2.65,0.8441125057935714,1.7797991849440756e-16,-1.9631229916000719,True,high state
2.7,0.0882691831588745,0.9966822240227283,-0.1787005758856755,True,low trap
2.7,0.12789023208618167,0.9694872839087696,0.2715687201090735,False,threshold
2.7,0.8441125057935714,7.335807560530721e-17,-1.963122991600073,True,high state
2.75,0.08863629245758056,0.9962835171068256,-0.1719219295840161,True,low trap
2.75,0.12499316215515135,0.9704491037779815,0.25695219561290644,False,threshold
2.75,0.8441125057935714,3.023603618901049e-17,-1.9631229916000734,True,high state
2.8,0.08906830024719237,0.995818037632467,-0.16393790195889327,True,low trap
2.8,0.12208418130874632,0.9715694957598184,0.24000751534682824,False,threshold
2.8,0.8441125057935714,1.2462402767242323e-17,-1.9631229916000736,True,high state
2.85,0.08958513069152832,0.9952664259137333,-0.15439930746854225,True,low trap
2.85,0.11914261531829833,0.9728621898313633,0.22039490374293735,False,threshold
2.85,0.8441125057935714,5.136635032518485e-18,-1.9631229916000739,True,high state
2.9,0.0902179012298584,0.9945988619200032,-0.14277158141892987,True,low trap
2.9,0.11613646602630616,0.9743515546763902,0.19759038188821254,False,threshold
2.9,0.8441125057935714,2.1171695338437903e-18,-1.9631229916000739,True,high state
2.95,0.09102002906799317,0.9937649195624805,-0.12815698846840032,True,low trap
2.95,0.11301132774353026,0.9760827694827711,0.17070764322184745,False,threshold
2.95,0.8441125057935714,8.726348682862614e-19,-1.9631229916000739,True,high state
3.0,0.09209819602966307,0.9926655665729183,-0.108805841831673,True,low trap
3.0,0.10965945816040039,0.9781498295515282,0.1380092104782994,False,threshold
3.0,0.8441125057935714,3.5967436767638907e-19,-1.9631229916000739,True,high state
3.05,0.09373772811889648,0.9910410108478097,-0.08016689244648129,True,low trap
3.05,0.10579441642761231,0.9808077069433008,0.09495666403096015,False,threshold
3.05,0.8441125057935714,1.4824717125671252e-19,-1.9631229916000739,True,high state
3.1,0.8441125057935714,6.110311370698012e-20,-1.9631229916000739,True,high state
3.15,0.8441125057935714,2.518490216736001e-20,-1.9631229916000739,True,high state
3.2,0.8441125057935714,1.0380474229532323e-20,-1.9631229916000739,True,high state
3.25,0.8441125057935714,4.278525463943888e-21,-1.9631229916000739,True,high state
3.3,0.8441125057935714,1.763482066506827e-21,-1.9631229916000739,True,high state
3.35,0.8441125057935714,7.268553208573139e-22,-1.9631229916000739,True,high state
